timestamp,ativo,direcao,preco,score_buy,score_sell,market_quality,reasons_buy,reasons_sell,resultado,lucro,confirmado,timeframe,atr,bollinger_width,distancia_ema,horario,dia_semana,mercado,trend_direction,close,ema_fast,ema_trend,rsi,macd,cci,adx,volume_ratio,asset,direction,entry_price,exit_price,result,mq
1784896814,,,,89.62655601659752,27.999999999999996,,,,,,,5,2.999336952400907e-05,0.000176279653114,,,,,,,,,,,,0.0,,GBPUSD=X,COMPRA,1.3314,,LOSS,0.0
1784897265,,,,74.06639004149376,43.42857142857143,,,,,,,5,0.0019108608185604,0.0001472690549335,,,,,,,,,,,,0.0,,USDJPY=X,COMPRA,163.844,,LOSS,0.0
1784897656,,,,53.3195020746888,74.28571428571429,,,,,,,5,0.0041081208735164,0.0001349734263243,,,,,,,,,,,,0.0,,EURJPY=X,VENDA,186.277,,LOSS,0.0
1784899356,,,,27.385892116182575,100.0,,,,,,,5,0.0060981764860117,0.0001701361905188,,,,,,,,,,,,0.0,,EURJPY=X,VENDA,186.333,,LOSS,0.0
1784900753,,,,27.385892116182575,100.0,,,,,,,5,0.0072286265929127,0.0001055736717994,,,,,,,,,,,,0.0,,EURJPY=X,VENDA,186.3085,,LOSS,0.0
1784901325,,,,100.0,27.999999999999996,,,,,,,5,0.0068595862252921,0.0001408316949401,,,,,,,,,,,,0.0,,EURJPY=X,COMPRA,186.335,,LOSS,0.0
1784903545,,,,89.62655601659752,27.999999999999996,,,,,,,5,2.3123238936508015e-05,0.0002044104864415,,,,,,,,,,,,0.0,,EURGBP=X,COMPRA,0.853815,,LOSS,0.0
1784904243,,,,100.0,27.999999999999996,,,,,,,5,2.844702785421044e-05,0.0001400079189965,,,,,,,,,,,,0.0,,AUDUSD=X,COMPRA,0.698355,,WIN,0.0
1784905140,,,,100.0,27.999999999999996,,,,,,,5,5.2591317633424525e-05,0.0004006441682823,,,,,,,,,,,,0.0,,EURGBP=X,COMPRA,0.853815,,LOSS,0.0
1784906950,,,,100.0,38.285714285714285,,,,,,,5,0.0037834830829659,0.0001323311108716,,,,,,,,,,,,0.0,,USDJPY=X,COMPRA,163.7005,,PENDENTE,0.0
1784907412,,,,89.62655601659752,27.999999999999996,,,,,,,5,2.140172183290378e-05,0.0001055202142929,,,,,,,,,,,,0.0,,AUDUSD=X,COMPRA,0.699235,,LOSS,0.0
1784907873,,,,27.385892116182575,89.71428571428571,,,,,,,5,0.0047818460412721,0.0001962827185883,,,,,,,,,,,,0.0,,EURJPY=X,VENDA,186.4085,,LOSS,0.0
1784908293,,,,89.62655601659752,27.999999999999996,,,,,,,5,3.7034368416707946e-05,0.0002818258618315,,,,,,,,,,,,0.0,,GBPUSD=X,COMPRA,1.33431,,LOSS,0.0
1784925394,,,,89.62655601659752,27.999999999999996,,,,,,,5,8.381050426268396e-06,0.00010163826790972766,,,,,,,,,,,,0.0,,NZDUSD=X,COMPRA,0.578615,,LOSS,0.0
1784925894,,,,89.62655601659752,27.999999999999996,,,,,,,5,0.0013980487924433657,0.00010111193212682133,,,,,,,,,,,,0.0,,EURJPY=X,COMPRA,186.2915,,WIN,0.0
1784926321,,,,89.62655601659752,27.999999999999996,,,,,,,5,1.733731563637377e-05,0.00014133346050645913,,,,,,,,,,,,0.0,,USDCAD=X,COMPRA,1.40955,,LOSS,0.0
1784926920,,,,84.43983402489627,53.714285714285715,,,,,,,5,0.00016607184761831395,0.00019069519541095966,,,,,,,,,,,,0.0,,GBPUSD=X,COMPRA,1.332415,,LOSS,0.0
