timestamp,ativo,direcao,preco,resultado,lucro,confirmado,score_buy,score_sell,market_quality,reasons_buy,reasons_sell,timeframe,atr,bollinger_width,distancia_ema,horario,dia_semana,mercado,trend_direction,close,ema_fast,ema_trend,rsi,macd,cci,adx,volume_ratio
2026-07-17T19:53:32.273718,EURUSD=X,VENDA,1.143585,PENDENTE,0.0,False,42.10526315789473,73.68421052631578,35.0,"[""EMA trend bullish"", ""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""EMA fast bearish"", ""MACD bearish"", ""CCI negativo"", ""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T19:55:52.444162,GBPUSD=X,COMPRA,1.34547,PENDENTE,0.0,False,100.0,26.31578947368421,35.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""MACD bullish"", ""CCI positivo"", ""RSI favor\u00e1vel (tend\u00eancia)"", ""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T19:58:06.076447,USDJPY=X,COMPRA,162.438,PENDENTE,0.0,False,100.0,26.31578947368421,75.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""MACD bullish"", ""CCI positivo"", ""RSI favor\u00e1vel (tend\u00eancia)"", ""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T20:00:22.882645,USDJPY=X,VENDA,162.4205,PENDENTE,0.0,False,26.31578947368421,100.0,35.0,"[""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""EMA fast bearish"", ""EMA trend bearish"", ""MACD bearish"", ""CCI negativo"", ""RSI favor\u00e1vel (tend\u00eancia baixa)"", ""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T22:06:11.986655,EURUSD=X,COMPRA,1.14395,PENDENTE,0.0,False,89.47368421052632,26.31578947368421,35.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""MACD bullish"", ""CCI positivo"", ""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T22:08:39.411902,EURUSD=X,COMPRA,1.14395,PENDENTE,0.0,False,84.21052631578947,42.10526315789473,35.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""CCI positivo"", ""RSI favor\u00e1vel (tend\u00eancia)"", ""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""MACD bearish"", ""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T22:11:06.789494,GBPUSD=X,VENDA,1.345145,PENDENTE,0.0,False,26.31578947368421,100.0,65.0,"[""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""EMA fast bearish"", ""EMA trend bearish"", ""MACD bearish"", ""CCI negativo"", ""RSI favor\u00e1vel (tend\u00eancia baixa)"", ""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T22:15:03.394950,GBPUSD=X,VENDA,1.345145,PENDENTE,0.0,False,26.31578947368421,89.47368421052632,65.0,"[""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""EMA fast bearish"", ""EMA trend bearish"", ""MACD bearish"", ""CCI negativo"", ""RSI favor\u00e1vel (tend\u00eancia baixa)"", ""Volume OK"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T22:23:25.856403,EURUSD=X,COMPRA,1.14395,PENDENTE,0.0,False,89.47368421052632,26.31578947368421,35.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""MACD bullish"", ""CCI positivo"", ""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T22:24:42.916762,EURUSD=X,COMPRA,1.14395,PENDENTE,0.0,False,84.21052631578947,42.10526315789473,35.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""CCI positivo"", ""RSI favor\u00e1vel (tend\u00eancia)"", ""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""MACD bearish"", ""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T22:42:32.733037,GBPUSD=X,VENDA,1.345145,PENDENTE,0.0,False,26.31578947368421,100.0,65.0,"[""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""EMA fast bearish"", ""EMA trend bearish"", ""MACD bearish"", ""CCI negativo"", ""RSI favor\u00e1vel (tend\u00eancia baixa)"", ""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T22:43:38.684742,GBPUSD=X,VENDA,1.345145,PENDENTE,0.0,False,26.31578947368421,89.47368421052632,65.0,"[""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""EMA fast bearish"", ""EMA trend bearish"", ""MACD bearish"", ""CCI negativo"", ""RSI favor\u00e1vel (tend\u00eancia baixa)"", ""Volume OK"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T22:57:07.986423,GBPUSD=X,VENDA,1.345145,PENDENTE,0.0,False,26.31578947368421,100.0,65.0,"[""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""EMA fast bearish"", ""EMA trend bearish"", ""MACD bearish"", ""CCI negativo"", ""RSI favor\u00e1vel (tend\u00eancia baixa)"", ""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-17T22:58:12.924679,GBPUSD=X,VENDA,1.345145,PENDENTE,0.0,False,26.31578947368421,89.47368421052632,65.0,"[""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""EMA fast bearish"", ""EMA trend bearish"", ""MACD bearish"", ""CCI negativo"", ""RSI favor\u00e1vel (tend\u00eancia baixa)"", ""Volume OK"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-18T09:24:20.991435,EURUSD-OTC,COMPRA,1.144725,PENDENTE,0.0,False,78.94736842105263,21.052631578947366,75.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""MACD bullish"", ""CCI positivo"", ""Volume OK"", ""Perto do suporte""]","[""Volume OK"", ""Bollinger superior (resist\u00eancia)""]",,,,,,,,,,,,,,,,
2026-07-18T09:38:56.043600,EURUSD-OTC,VENDA,1.142995,PENDENTE,0.0,False,26.31578947368421,78.94736842105263,65.0,"[""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""EMA fast bearish"", ""EMA trend bearish"", ""MACD bearish"", ""CCI negativo"", ""Volume OK"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-18T09:41:48.673431,GBPUSD-OTC,VENDA,1.341155,PENDENTE,0.0,False,26.31578947368421,100.0,65.0,"[""RSI favor\u00e1vel (tend\u00eancia)"", ""Volume OK"", ""Perto do suporte""]","[""EMA fast bearish"", ""EMA trend bearish"", ""MACD bearish"", ""CCI negativo"", ""RSI favor\u00e1vel (tend\u00eancia baixa)"", ""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-18T09:44:01.714791,GBPUSD-OTC,COMPRA,1.341425,PENDENTE,0.0,False,89.47368421052632,26.31578947368421,75.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""MACD bullish"", ""CCI positivo"", ""RSI favor\u00e1vel (tend\u00eancia)"", ""Volume OK"", ""Perto do suporte""]","[""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-18T09:55:40.210698,EURUSD-OTC,COMPRA,1.145515,PENDENTE,0.0,False,73.68421052631578,15.789473684210526,75.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""MACD bullish"", ""CCI positivo"", ""Volume OK""]","[""Volume OK"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-18T11:33:37.927526,GBPUSD-OTC,COMPRA,1.346315,PENDENTE,0.0,False,78.94736842105263,26.31578947368421,75.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""MACD bullish"", ""CCI positivo"", ""Volume OK"", ""Perto do suporte""]","[""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-18T11:41:59.827826,EURUSD-OTC,COMPRA,1.144105,PENDENTE,0.0,False,89.47368421052632,36.84210526315789,75.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""MACD bullish"", ""CCI positivo"", ""RSI favor\u00e1vel (tend\u00eancia)"", ""Volume OK"", ""Perto do suporte""]","[""RSI favor\u00e1vel (tend\u00eancia baixa)"", ""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-18T11:57:17.931477,EURUSD-OTC,COMPRA,1.145865,PENDENTE,0.0,False,73.68421052631578,42.10526315789473,75.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""CCI positivo"", ""RSI favor\u00e1vel (tend\u00eancia)"", ""Volume OK"", ""Perto do suporte""]","[""MACD bearish"", ""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-18T12:11:19.294384,GBPUSD-OTC,COMPRA,1.346765,PENDENTE,0.0,False,89.47368421052632,26.31578947368421,75.0,"[""EMA fast bullish"", ""EMA trend bullish"", ""MACD bullish"", ""CCI positivo"", ""RSI favor\u00e1vel (tend\u00eancia)"", ""Volume OK"", ""Perto do suporte""]","[""Volume OK"", ""Bollinger superior (resist\u00eancia)"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-18T12:35:00.366359,GBPUSD-OTC,VENDA,1.344455,PENDENTE,0.0,False,26.31578947368421,78.94736842105263,65.0,"[""Volume OK"", ""Bollinger inferior (suporte)"", ""Perto do suporte""]","[""EMA fast bearish"", ""EMA trend bearish"", ""MACD bearish"", ""CCI negativo"", ""Volume OK"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
2026-07-18T12:37:07.110287,GBPUSD-OTC,VENDA,1.344805,PENDENTE,0.0,False,31.57894736842105,73.68421052631578,75.0,"[""EMA trend bullish"", ""Volume OK"", ""Perto do suporte""]","[""EMA fast bearish"", ""MACD bearish"", ""CCI negativo"", ""RSI favor\u00e1vel (tend\u00eancia baixa)"", ""Volume OK"", ""Perto da resist\u00eancia""]",,,,,,,,,,,,,,,,
